Urea (Ton),,,,,
"Kode Provinsi 
Kemendagri",Provinsi,Tahun,Alokasi/Realisasi,Ton,
53,Nusa Tenggara Timur,2020,Alokasi,"26,598.00",
61,Kalimantan Barat,2020,Alokasi,"35,159.00",
62,Kalimantan Tengah,2020,Alokasi,"16,847.00",
63,Kalimantan Selatan,2020,Alokasi,"38,882.00",
64,Kalimantan Timur,2020,Alokasi,"17,563.00",
65,Kalimantan Utara,2020,Alokasi,"2,714.00",
71,Sulawesi Utara,2020,Alokasi,"21,456.00",
72,Sulawesi Tengah,2020,Alokasi,"38,871.00",
73,Sulawesi Selatan,2020,Alokasi,"323,010.00",
74,Sulawesi Tenggara,2020,Alokasi,"25,522.00",
75,Gorontalo,2020,Alokasi,"38,814.00",
76,Sulawesi Barat,2020,Alokasi,"36,891.00",
81,Maluku,2020,Alokasi,"3,743.00",
82,Maluku Utara,2020,Alokasi,801.00,
91,Papua,2020,Alokasi,"8,081.00",
92,Papua Barat,2020,Alokasi,"1,080.00",
11,Aceh,2020,Realisasi,"68,960.00",
12,Sumatera Utara,2020,Realisasi,"144,093.15",
13,Sumatera Barat,2020,Realisasi,"61,167.30",
14,Riau,2020,Realisasi,"35,061.95",
15,Jambi,2020,Realisasi,"29,111.75",
16,Sumatera Selatan,2020,Realisasi,"150,644.65",
17,Bengkulu,2020,Realisasi,"24,802.75",
18,Lampung,2020,Realisasi,"265,697.70",
19,Kep. Bangka Belitung,2020,Realisasi,"25,058.00",
21,Kepulauan Riau,2020,Realisasi,117.00,
31,DKI Jakarta,2020,Realisasi,8.00,
32,Jawa Barat,2020,Realisasi,"523,079.76",
33,Jawa Tengah,2020,Realisasi,"730,390.86",
34,D.I. Yogyakarta,2020,Realisasi,"35,400.32",
35,Jawa Timur,2020,Realisasi,"957,599.56",
36,Banten,2020,Realisasi,"64,282.75",
51,Bali,2020,Realisasi,"35,374.15",
52,Nusa Tenggara Barat,2020,Realisasi,"189,087.20",
53,Nusa Tenggara Timur,2020,Realisasi,"26,582.20",
61,Kalimantan Barat,2020,Realisasi,"34,444.05",
62,Kalimantan Tengah,2020,Realisasi,"16,625.25",
63,Kalimantan Selatan,2020,Realisasi,"37,078.70",
64,Kalimantan Timur,2020,Realisasi,"17,233.25",
65,Kalimantan Utara,2020,Realisasi,"2,631.25",
71,Sulawesi Utara,2020,Realisasi,"21,332.90",
72,Sulawesi Tengah,2020,Realisasi,"38,871.00",
73,Sulawesi Selatan,2020,Realisasi,"322,719.25",
74,Sulawesi Tenggara,2020,Realisasi,"25,522.00",
75,Gorontalo,2020,Realisasi,"38,814.00",
76,Sulawesi Barat,2020,Realisasi,"36,791.00",
81,Maluku,2020,Realisasi,"3,262.95",
82,Maluku Utara,2020,Realisasi,785.00,
91,Papua,2020,Realisasi,"7,689.15",
92,Papua Barat,2020,Realisasi,"1,077.80",
11,Aceh,2021,Alokasi,"76,007.00",
12,Sumatera Utara,2021,Alokasi,"152,627.00",
13,Sumatera Barat,2021,Alokasi,"70,462.00",
14,Riau,2021,Alokasi,"41,341.00",
15,Jambi,2021,Alokasi,"30,353.00",
16,Sumatera Selatan,2021,Alokasi,"139,279.00",
17,Bengkulu,2021,Alokasi,"29,812.00",
18,Lampung,2021,Alokasi,"282,614.00",
19,Kep. Bangka Belitung,2021,Alokasi,"31,060.00",
21,Kepulauan Riau,2021,Alokasi,119.00,
31,DKI Jakarta,2021,Alokasi,59.00,
32,Jawa Barat,2021,Alokasi,"600,996.00",
33,Jawa Tengah,2021,Alokasi,"700,692.00",
34,D.I. Yogyakarta,2021,Alokasi,"40,147.00",
35,Jawa Timur,2021,Alokasi,"955,762.00",
36,Banten,2021,Alokasi,"73,884.00",
51,Bali,2021,Alokasi,"32,798.00",
52,Nusa Tenggara Barat,2021,Alokasi,"188,547.00",
53,Nusa Tenggara Timur,2021,Alokasi,"34,532.00",
61,Kalimantan Barat,2021,Alokasi,"31,646.00",
62,Kalimantan Tengah,2021,Alokasi,"15,968.00",
63,Kalimantan Selatan,2021,Alokasi,"32,677.00",
64,Kalimantan Timur,2021,Alokasi,"29,901.00",
65,Kalimantan Utara,2021,Alokasi,"5,315.00",
71,Sulawesi Utara,2021,Alokasi,"32,634.00",
72,Sulawesi Tengah,2021,Alokasi,"42,891.00",
73,Sulawesi Selatan,2021,Alokasi,"324,083.00",
74,Sulawesi Tenggara,2021,Alokasi,"38,492.00",
75,Gorontalo,2021,Alokasi,"56,002.00",
76,Sulawesi Barat,2021,Alokasi,"49,708.00",
81,Maluku,2021,Alokasi,"4,691.00",
82,Maluku Utara,2021,Alokasi,"3,630.00",
91,Papua,2021,Alokasi,"14,589.00",
92,Papua Barat,2021,Alokasi,"3,351.00",
11,Aceh,2021,Realisasi,"73,798.00",
12,Sumatera Utara,2021,Realisasi,"146,842.00",
13,Sumatera Barat,2021,Realisasi,"66,821.30",
14,Riau,2021,Realisasi,"40,873.40",
15,Jambi,2021,Realisasi,"30,054.70",
16,Sumatera Selatan,2021,Realisasi,"125,824.50",
17,Bengkulu,2021,Realisasi,"26,128.10",
18,Lampung,2021,Realisasi,"281,132.20",
19,Kep. Bangka Belitung,2021,Realisasi,"30,840.00",
21,Kepulauan Riau,2021,Realisasi,119.00,
31,DKI Jakarta,2021,Realisasi,59.00,
32,Jawa Barat,2021,Realisasi,"488,157.55",
33,Jawa Tengah,2021,Realisasi,"580,837.90",
34,D.I. Yogyakarta,2021,Realisasi,"29,643.50",
35,Jawa Timur,2021,Realisasi,"862,592.05",
36,Banten,2021,Realisasi,"54,726.80",
51,Bali,2021,Realisasi,"26,418.85",
52,Nusa Tenggara Barat,2021,Realisasi,"184,453.65",
53,Nusa Tenggara Timur,2021,Realisasi,"20,490.95",
61,Kalimantan Barat,2021,Realisasi,"30,003.00",
62,Kalimantan Tengah,2021,Realisasi,"15,423.35",
63,Kalimantan Selatan,2021,Realisasi,"29,723.30",
64,Kalimantan Timur,2021,Realisasi,"18,029.60",
65,Kalimantan Utara,2021,Realisasi,"3,786.75",
71,Sulawesi Utara,2021,Realisasi,"21,542.65",
72,Sulawesi Tengah,2021,Realisasi,"31,171.30",
73,Sulawesi Selatan,2021,Realisasi,"301,775.90",
74,Sulawesi Tenggara,2021,Realisasi,"20,344.15",
75,Gorontalo,2021,Realisasi,"41,041.55",
76,Sulawesi Barat,2021,Realisasi,"33,279.90",
81,Maluku,2021,Realisasi,"1,928.35",
82,Maluku Utara,2021,Realisasi,476.00,
91,Papua,2021,Realisasi,"5,982.05",
92,Papua Barat,2021,Realisasi,924.50,
11,Aceh,2022,Alokasi,"79,596.00",
12,Sumatera Utara,2022,Alokasi,"168,487.00",
13,Sumatera Barat,2022,Alokasi,"79,951.00",
14,Riau,2022,Alokasi,"26,398.00",
15,Jambi,2022,Alokasi,"26,027.00",
16,Sumatera Selatan,2022,Alokasi,"120,541.00",
17,Bengkulu,2022,Alokasi,"23,353.00",
18,Lampung,2022,Alokasi,"278,799.00",
19,Kep. Bangka Belitung,2022,Alokasi,"16,738.00",
21,Kepulauan Riau,2022,Alokasi,115.00,
31,DKI Jakarta,2022,Alokasi,52.00,
32,Jawa Barat,2022,Alokasi,"548,235.00",
33,Jawa Tengah,2022,Alokasi,"689,554.00",
34,D.I. Yogyakarta,2022,Alokasi,"38,349.00",
35,Jawa Timur,2022,Alokasi,"1,032,152.00",
36,Banten,2022,Alokasi,"61,845.00",
51,Bali,2022,Alokasi,"35,339.00",
52,Nusa Tenggara Barat,2022,Alokasi,"225,993.00",
53,Nusa Tenggara Timur,2022,Alokasi,"25,597.00",
61,Kalimantan Barat,2022,Alokasi,"34,493.00",
62,Kalimantan Tengah,2022,Alokasi,"15,247.00",
